Venue,N of papers
acl,30
emnlp,22
W19,22
findings,21
W17,19
naacl,18
D19,17
W18,16
lrec,15
semeval,15
P19,14
coling,14
L16,14
C16,13
W16,13
L18,12
N19,12
S16,11
P18,10
R19,10
D18,10
P16,10
eamt,9
starsem,9
repl4nlp,9
D17,9
sigdial,8
blackboxnlp,8
P17,8
K19,8
vardial,8
eacl,8
ranlp,8
E17,8
D16,8
S17,8
sdp,7
maiworkshop,7
argmining,7
dravidianlangtech,7
gwc,7
ecnlp,7
nlp4if,7
K18,7
sigmorphon,7
bea,7
woah,7
parlaclarin,7
socialnlp,7
ltedi,7
alw,7
Q18,7
fever,7
S18,7
N18,7
C18,7
cmcl,7
aacl,7
conll,7
iwslt,7
smm4h,7
law,7
I17,7
nlposs,6
Y17,6
Y16,6
K16,6
wat,6
udw,6
dialdoc,6
lilt,6
metanlp,6
N16,6
mwe,6
cl,6
computerm,6
tacl,6
Q17,6
calcs,6
figlang,6
sigtyp,6
S19,6
paclic,6
pam,6
cogalex,6
O16,6
trac,6
deeplo,6
insights,6
case,6
wnut,6
louhi,6
U17,6
rocling,6
hcinlp,6
wassa,6
nlp4musa,6
computel,6
alvr,6
codi,6
in2writing,6
Q19,6
finnlp,6
deelio,6
ccl,6
clpsych,6
Q16,6
triton,6
iwcs,6
wnu,6
alta,6
sltu,6
nodalida,6
eval4nlp,6
nllp,6
scil,6
K17,6
fnp,6
clinicalnlp,6
peoples,6
nlp4posimpact,6
humeval,6
crac,6
latechclfl,6
adaptnlp,6
icnlsp,6
nlp4convai,6
J18,6
iwpt,6
konvens,6
lchange,6
sustainlp,6
readi,6
bionlp,6
ngt,6
globalex,6
gebnlp,6
O17,6
spnlp,6
signlang,6
nlpcss,6
gem,6
osact,6
J16,6
inlg,6
bsnlp,6
Y18,6
americasnlp,6
wmt,6
challengehml,6
nlpmc,6
mtsummit,6
nuse,6
dadc,6
wanlp,6
amta,6
nlptea,6
slpat,6
nlpcovid19,5
mrl,5
tc,5
lt4hala,5
aespen,5
nlppower,5
ecomnlp,5
cinlp,5
icon,5
bucc,5
motra,5
teachingnlp,5
U16,5
mmsr,5
nlp4call,5
framenet,5
J17,5
onion,4
disrpt,4
lr4sshoc,4
autosimtrans,4
privatenlp,4
naloma,4
germeval,4
U18,4
constraint,4
splu,4
textgraphs,4
suki,4
U19,4
newsum,4
tlt,4
rail,3
depling,3
O18,3
wosp,3
iwltp,3
iwclul,3
splurobonlp,3
ccnlg,3
msr,3
dash,3
reinact,3
J19,3
udfestbr,3
mrqa,3
vlsp,3
bppf,3
isa,3
nli,3
cmlc,3
trustnlp,3
econlp,3
intexsempar,3
hackashop,3
mia,3
stoc,3
ldl,3
cllrd,3
wordplay,3
ijclclp,3
lt4gov,3
wildre,2
bigscience,2
evalnlgeval,2
dt4tp,2
fl4nlp,2
lincr,2
jeptalnrecital,2
lnls,2
dlg4nlp,2
nlpbt,2
unimplicit,2
clssts,2
csrr,2
mmw,2
dmr,2
nsurl,2
intellang,2
scai,1
iwdp,1
multilingualbio,1
lantern,1
distcurate,1
cnl,1
spanlp,1
semspace,1
wac,1
quasy,1
loresmt,1
internlp,1
mmtlrl,1
rdsm,1
nlp4prog,1
nl4xai,1
ai4hi,1
gamnlp,1
